commandId,sectionId,sectionName,name,isToggle,namedId
412,0,Main,Track: Set volume for track 50 (MIDI CC/OSC only),0,
413,0,Main,Track: Set pan for track 50 (MIDI CC/OSC only),0,
414,0,Main,Track: Toggle mute for track 50,1,
415,0,Main,Track: Toggle solo for track 50,1,
416,0,Main,Track: Toggle FX bypass for track 50,1,
417,0,Main,Track: Toggle record arm for track 50,1,
418,0,Main,Track: Set mute for track 50 (MIDI CC/OSC only),0,
419,0,Main,Track: Set solo for track 50 (MIDI CC/OSC only),0,
420,0,Main,Track: Set volume for track 51 (MIDI CC/OSC only),0,
421,0,Main,Track: Set pan for track 51 (MIDI CC/OSC only),0,
422,0,Main,Track: Toggle mute for track 51,1,
423,0,Main,Track: Toggle solo for track 51,1,
424,0,Main,Track: Toggle FX bypass for track 51,1,
425,0,Main,Track: Toggle record arm for track 51,1,
426,0,Main,Track: Set mute for track 51 (MIDI CC/OSC only),0,
427,0,Main,Track: Set solo for track 51 (MIDI CC/OSC only),0,
428,0,Main,Track: Set volume for track 52 (MIDI CC/OSC only),0,
429,0,Main,Track: Set pan for track 52 (MIDI CC/OSC only),0,
430,0,Main,Track: Toggle mute for track 52,1,
431,0,Main,Track: Toggle solo for track 52,1,
432,0,Main,Track: Toggle FX bypass for track 52,1,
433,0,Main,Track: Toggle record arm for track 52,1,
434,0,Main,Track: Set mute for track 52 (MIDI CC/OSC only),0,
435,0,Main,Track: Set solo for track 52 (MIDI CC/OSC only),0,
436,0,Main,Track: Set volume for track 53 (MIDI CC/OSC only),0,
437,0,Main,Track: Set pan for track 53 (MIDI CC/OSC only),0,
438,0,Main,Track: Toggle mute for track 53,1,
439,0,Main,Track: Toggle solo for track 53,1,
440,0,Main,Track: Toggle FX bypass for track 53,1,
441,0,Main,Track: Toggle record arm for track 53,1,
442,0,Main,Track: Set mute for track 53 (MIDI CC/OSC only),0,
443,0,Main,Track: Set solo for track 53 (MIDI CC/OSC only),0,
444,0,Main,Track: Set volume for track 54 (MIDI CC/OSC only),0,
445,0,Main,Track: Set pan for track 54 (MIDI CC/OSC only),0,
446,0,Main,Track: Toggle mute for track 54,1,
447,0,Main,Track: Toggle solo for track 54,1,
448,0,Main,Track: Toggle FX bypass for track 54,1,
449,0,Main,Track: Toggle record arm for track 54,1,
450,0,Main,Track: Set mute for track 54 (MIDI CC/OSC only),0,
451,0,Main,Track: Set solo for track 54 (MIDI CC/OSC only),0,
452,0,Main,Track: Set volume for track 55 (MIDI CC/OSC only),0,
453,0,Main,Track: Set pan for track 55 (MIDI CC/OSC only),0,
454,0,Main,Track: Toggle mute for track 55,1,
455,0,Main,Track: Toggle solo for track 55,1,
456,0,Main,Track: Toggle FX bypass for track 55,1,
457,0,Main,Track: Toggle record arm for track 55,1,
458,0,Main,Track: Set mute for track 55 (MIDI CC/OSC only),0,
459,0,Main,Track: Set solo for track 55 (MIDI CC/OSC only),0,
460,0,Main,Track: Set volume for track 56 (MIDI CC/OSC only),0,
461,0,Main,Track: Set pan for track 56 (MIDI CC/OSC only),0,
462,0,Main,Track: Toggle mute for track 56,1,
463,0,Main,Track: Toggle solo for track 56,1,
464,0,Main,Track: Toggle FX bypass for track 56,1,
465,0,Main,Track: Toggle record arm for track 56,1,
